2026-04-11T11:03:14 UTC | Loading BPF program from /home/litaliano00-dev/PysiAdmin/ebpf/probes/exec_monitor.c
2026-04-11T11:03:18 UTC | Tracing execve syscalls — Ctrl+C to stop.
2026-04-11T11:16:49 UTC | EXEC | pid=353830 ppid=353786 uid=1000   comm=blocking-2           file=
2026-04-11T11:16:49 UTC | EXEC | pid=353830 ppid=353786 uid=1000   comm=blocking-2           file=
2026-04-11T11:16:49 UTC | EXEC | pid=353830 ppid=353786 uid=1000   comm=blocking-2           file=
2026-04-11T11:16:49 UTC | EXEC | pid=353810 ppid=1      uid=0      comm=(systemd-hostn)      file=
2026-04-11T11:16:49 UTC | EXEC | pid=353832 ppid=353831 uid=1000   comm=bwrap                file=
2026-04-11T11:16:49 UTC | EXEC | pid=353836 ppid=353786 uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:16:49 UTC | EXEC | pid=353836 ppid=353786 uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:16:49 UTC | EXEC | pid=353836 ppid=353786 uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:16:49 UTC | EXEC | pid=353836 ppid=353786 uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:16:49 UTC | EXEC | pid=353836 ppid=353786 uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:16:49 UTC | EXEC | pid=353836 ppid=353786 uid=1000   comm=gly-hdl-loader       file=
2026-04-11T11:16:49 UTC | EXEC | pid=353838 ppid=353837 uid=1000   comm=bwrap                file=
2026-04-11T11:17:05 UTC | EXEC | pid=353895 ppid=4225   uid=1000   comm=gvfsd                file=
2026-04-11T11:17:06 UTC | EXEC | pid=353926 ppid=353786 uid=1000   comm=gly-hdl-editor       file=
2026-04-11T11:17:06 UTC | EXEC | pid=353926 ppid=353786 uid=1000   comm=gly-hdl-editor       file=
2026-04-11T11:17:06 UTC | EXEC | pid=353926 ppid=353786 uid=1000   comm=gly-hdl-editor       file=
2026-04-11T11:17:06 UTC | EXEC | pid=353926 ppid=353786 uid=1000   comm=gly-hdl-editor       file=
2026-04-11T11:17:06 UTC | EXEC | pid=353926 ppid=353786 uid=1000   comm=gly-hdl-editor       file=
